id,label,start_time,end_time
1,pytorch_torch,2016-10-01 00:00:00,2020-01-30 00:00:00
2,seuretm_ocrd_typegroups_classifier,2018-11-12 22:46:25,2020-01-30 00:00:00
3,bomri_pytorch-checkpoint,2019-05-23 22:51:11,2020-01-30 00:00:00
4,haoxizhong_taboo,2019-10-27 15:22:15,2020-01-30 00:00:00
5,johntd54_dawnet,2018-10-24 23:03:41,2020-01-30 00:00:00
6,guokr_TorchCTR,2019-08-05 16:47:27,2020-01-30 00:00:00
7,MIC-DKFZ_TractSeg,2019-11-21 15:18:22,2020-01-30 00:00:00
8,dccxx_pip,2019-01-12 17:21:19,2020-01-30 00:00:00
9,arita37_cli_code,2019-07-25 17:54:21,2020-01-30 00:00:00
10,wwwbbb8510_bidcap,2019-03-11 12:10:28,2020-01-30 00:00:00
11,JohnVinyard_zounds,2017-08-25 03:07:18,2020-01-30 00:00:00
12,EvilPsyCHo_TaskBot,2018-07-13 18:20:21,2020-01-30 00:00:00
13,JesperDramsch_keras-complex,2019-10-16 00:13:57,2020-01-30 00:00:00
14,robotlearn_pyrobolearn,2019-04-16 13:00:12,2020-01-30 00:00:00
15,DeepRank_iScore,2019-08-23 11:32:48,2020-01-30 00:00:00
16,rusty1s_pytorch_bincount,2018-06-05 15:44:23,2020-01-30 00:00:00
17,Nrgeup_EasyNLP,2019-07-18 07:01:56,2020-01-30 00:00:00
18,yuezhihan_geyser,2019-06-06 23:42:32,2020-01-30 00:00:00
19,jimmy60504_SeisNN,2019-05-14 03:22:14,2020-01-30 00:00:00
20,LauraMartinus_ukuxhumana,2018-11-18 10:17:29,2020-01-30 00:00:00
21,GeoffreyChen777_TorchRecord,2018-12-17 14:13:15,2020-01-30 00:00:00
22,dmxj_icv,2019-05-07 20:57:18,2020-01-30 00:00:00
23,cpnota_autonomous-learning-library,2020-01-10 20:21:47,2020-01-30 00:00:00
24,VinF_deer,2018-11-25 01:44:14,2020-01-30 00:00:00
25,louis030195_xmoto-gym,2019-01-27 12:04:51,2020-01-30 00:00:00
26,mrdrozdov_pytorch-extras,2018-10-23 02:03:48,2020-01-30 00:00:00
27,TowardHumanizedInteraction_TripletTorch,2019-10-07 05:40:43,2020-01-30 00:00:00
28,YosefLab_scVI,2018-06-12 20:39:40,2020-01-30 00:00:00
29,chenyaofo_flame,2019-10-29 07:23:49,2020-01-30 00:00:00
30,ryuz_BinaryBrain,2019-09-15 07:26:51,2020-01-30 00:00:00
31,jtoy_sensenet,2017-12-10 12:29:09,2020-01-30 00:00:00
32,rohitgr7_tvmodels,2019-06-01 13:13:19,2020-01-30 00:00:00
33,aiqm_torchani,2018-09-26 19:06:32,2020-01-30 00:00:00
34,csmithchicago_YouChoose,2019-07-02 01:43:37,2020-01-30 00:00:00
35,wesselb_wbml,2019-10-29 22:02:24,2020-01-30 00:00:00
36,rwightman_pytorch-image-models,2019-06-21 21:41:52,2020-01-30 00:00:00
37,neurodata_primitives-interfaces,2019-02-01 04:19:53,2020-01-30 00:00:00
38,jotaf98_overboard,2018-12-29 12:34:39,2020-01-30 00:00:00
39,neurodata_ndmg,2019-10-18 01:03:04,2020-01-30 00:00:00
40,allenai_bilm-tf,2018-10-08 21:48:56,2020-01-30 00:00:00
41,Statham-stone_MultiRunner,2018-03-26 10:16:58,2020-01-30 00:00:00
42,RedisAI_redisai-py,2019-04-13 21:26:14,2020-01-30 00:00:00
43,blazee-io_blazee-python,2019-04-12 19:19:29,2020-01-30 00:00:00
44,Catastropha_ignis,2019-08-18 05:46:20,2020-01-30 00:00:00
45,sytelus_regim,2019-01-04 13:36:35,2020-01-30 00:00:00
46,MarcioPorto_rlib,2019-03-17 22:28:28,2020-01-30 00:00:00
47,jettify_pytorch-inspect,2019-09-02 17:15:31,2020-01-30 00:00:00
48,TinkeringCode_PokerRL,2019-02-07 04:02:42,2020-01-30 00:00:00
49,harbor-ml_modelzoo,2019-10-15 12:08:16,2020-01-30 00:00:00
50,msc-acse_acse-9-independent-research-project-OliverJBoom,2019-08-23 12:22:52,2020-01-30 00:00:00
51,osmr_imgclsmob,2018-09-12 04:30:47,2020-01-30 00:00:00
52,yngtodd_datastore,2019-07-24 01:49:35,2020-01-30 00:00:00
53,caiyunapp_leibniz,2019-09-27 05:54:02,2020-01-30 00:00:00
54,erdos-project_erdos,2018-11-14 04:12:09,2020-01-30 00:00:00
55,ddkang_advex-uar,2019-08-22 07:59:54,2020-01-30 00:00:00
56,uber_petastorm,2018-08-30 20:42:15,2020-01-30 00:00:00
57,DerThorsten_spatial_ops,2019-08-08 20:49:55,2020-01-30 00:00:00
58,TatauCloud_tatau,2019-01-21 18:00:57,2020-01-30 00:00:00
59,ItamarWilf_pytorch-bonsai,2019-08-25 17:57:42,2020-01-30 00:00:00
60,dmlc_minpy,2017-05-07 09:38:40,2020-01-30 00:00:00
61,DAI-Lab_CTGAN,2019-11-08 03:12:47,2020-01-30 00:00:00
62,wannaphongcom_NokCut,2018-11-30 14:34:28,2020-01-30 00:00:00
63,williamFalcon_pytorch-lightning,2019-03-31 19:29:05,2020-01-30 00:00:00
64,gitlab.com_mihaicristianpirvu_neural-wrappers,2018-01-29 17:44:46,2020-01-30 00:00:00
65,jinfagang_alfred,2018-11-09 09:51:07,2020-01-30 00:00:00
66,RaMdsC_hdeeprm,2019-02-25 22:49:04,2020-01-30 00:00:00
67,naver_claf,2019-02-27 13:31:22,2020-01-30 00:00:00
68,dgasmith_opt_einsum,2018-08-04 00:29:16,2020-01-30 00:00:00
69,cschoeller_pycandle,2019-09-09 11:33:55,2020-01-30 00:00:00
70,utiasSTARS_pykitti,2018-08-15 05:49:32,2020-01-30 00:00:00
71,classtag_light-text-classification,2018-12-19 14:46:14,2020-01-30 00:00:00
72,rogierknoester_omniart_eye_generator,2019-05-14 19:27:58,2020-01-30 00:00:00
73,seung-lab_chunkflow,2019-02-11 14:28:34,2020-01-30 00:00:00
74,cpuhrsch_nestedtensor,2019-10-29 01:21:02,2020-01-30 00:00:00
75,NUSTM_pytorch-dnnnlp,2019-08-23 02:40:15,2020-01-30 00:00:00
76,SurrealAI_symphony,2018-04-12 02:53:09,2020-01-30 00:00:00
77,locuslab_projected_sinkhorn,2019-02-22 07:49:16,2020-01-30 00:00:00
78,martinjzhang_adafdr,2018-10-31 03:34:44,2020-01-30 00:00:00
79,brine-io_brine,2017-10-30 11:10:55,2020-01-30 00:00:00
80,rtlee9_serveit,2018-03-08 10:11:40,2020-01-30 00:00:00
81,AntNLP_antu,2019-01-03 21:58:35,2020-01-30 00:00:00
82,magnusja_nvfan,2019-04-30 13:26:48,2020-01-30 00:00:00
83,graykode_modelsummary,2019-03-04 22:57:42,2020-01-30 00:00:00
84,Fabien-Couthouis_ClassMail,2019-09-03 11:16:39,2020-01-30 00:00:00
85,daili0015_ModelFeast,2019-03-05 11:21:11,2020-01-30 00:00:00
86,oscarknagg_olympic-pytorch,2018-12-01 03:44:11,2020-01-30 00:00:00
87,davidtvs_pytorch-lr-finder,2019-09-14 20:49:18,2020-01-30 00:00:00
88,gugarosa_opytimizer,2019-06-21 14:47:42,2020-01-30 00:00:00
89,Enny1991_beamformers,2019-01-04 13:57:41,2020-01-30 00:00:00
90,zasdfgbnm_TorchSnooper,2019-05-29 03:32:43,2020-01-30 00:00:00
91,supersergiy_artificery,2019-08-11 14:38:35,2020-01-30 00:00:00
92,jun-harashima_pttagger,2019-01-03 18:55:54,2020-01-30 00:00:00
93,learnables_cherry,2018-12-10 08:09:43,2020-01-30 00:00:00
94,1ytic_warp-rna,2019-08-11 16:15:39,2020-01-30 00:00:00
95,mcgill-femr_scipion-em-cryomethods,2019-07-11 03:46:00,2020-01-30 00:00:00
96,zhijing-jin_efficiency,2019-09-27 06:21:16,2020-01-30 00:00:00
97,onnx_onnx-caffe2,2017-11-17 07:58:42,2020-01-30 00:00:00
98,CyberZHG_torch-gpt-2,2019-02-26 10:44:12,2020-01-30 00:00:00
99,RobinBruegger_RevTorch,2019-06-19 00:22:07,2020-01-30 00:00:00
100,convergence-lab_novograd,2019-08-25 05:10:57,2020-01-30 00:00:00
101,benoitmartin88_pytorchtrainer,2019-06-28 12:53:21,2020-01-30 00:00:00
102,tsaoyu_RLenergy,2018-06-20 22:50:42,2020-01-30 00:00:00
103,kngwyu_Rainy,2019-04-19 05:35:59,2020-01-30 00:00:00
104,r9y9_nnmnkwii,2017-08-14 12:13:49,2020-01-30 00:00:00
105,zijwang_genderperformr,2018-10-23 10:46:24,2020-01-30 00:00:00
106,Temigo_faster-particles,2018-10-16 09:40:48,2020-01-30 00:00:00
107,FebruaryBreeze_torch-parameter-groups,2019-03-31 07:53:25,2020-01-30 00:00:00
108,qywu_TorchFly,2019-01-30 09:08:03,2020-01-30 00:00:00
109,daavoo_pyntcloud,2019-07-14 09:24:00,2020-01-30 00:00:00
110,pytorchfi_pytorchfi,2019-04-30 14:38:43,2020-01-30 00:00:00
111,vturrisi_torchfuel,2019-04-05 15:18:49,2020-01-30 00:00:00
112,ZJU-RL_rllite,2019-02-25 21:21:11,2020-01-30 00:00:00
113,AlbertoCenzato_pytorch_ext,2019-02-06 19:14:38,2020-01-30 00:00:00
114,hanson-young_hdface,2019-07-15 12:05:39,2020-01-30 00:00:00
115,ColinQiyangLi_ml-descriptor,2018-11-05 23:17:52,2020-01-30 00:00:00
116,yusugomori_barbar,2019-04-11 12:40:37,2020-01-30 00:00:00
117,0h-n0_torchex,2018-11-26 05:25:35,2020-01-30 00:00:00
118,PiotrDabkowski_torchpwl,2019-05-19 00:29:02,2020-01-30 00:00:00
119,gitlab.com_EAVISE_flutil,2018-04-21 14:19:22,2020-01-30 00:00:00
120,rajagurunath_mlvajra,2019-04-06 19:07:58,2020-01-30 00:00:00
121,martno_exprec,2018-11-18 09:11:13,2020-01-30 00:00:00
122,DAI-Lab_SDGym,2019-08-08 09:04:43,2020-01-30 00:00:00
123,predictive-analytics-lab_EthicML,2019-06-27 15:10:40,2020-01-30 00:00:00
124,aimagelab_speaksee,2018-08-25 12:05:57,2020-01-30 00:00:00
125,mikahama_natas,2019-05-24 14:11:32,2020-01-30 00:00:00
126,ar4_deepwave,2018-09-26 14:51:25,2020-01-30 00:00:00
127,kipoi_kipoi-interpret,2018-07-17 21:01:01,2020-01-30 00:00:00
128,andres-fr_audio-synch-tool,2019-05-23 11:03:16,2020-01-30 00:00:00
129,ericput_bert-ner,2019-01-19 23:36:07,2020-01-30 00:00:00
130,neurodata_ardent,2019-09-13 17:22:36,2020-01-30 00:00:00
131,lyft_nuscenes-devkit,2019-09-24 00:27:35,2020-01-30 00:00:00
132,learnables_learn2learn,2019-08-09 03:40:55,2020-01-30 00:00:00
133,uber-research_EvoGrad,2019-09-15 18:40:37,2020-01-30 00:00:00
134,chmp_misc-exp,2018-05-27 17:15:05,2020-01-30 00:00:00
135,zomux_nmtlab,2019-10-01 06:02:16,2020-01-30 00:00:00
136,crazyj7_python,2019-10-01 06:42:45,2020-01-30 00:00:00
137,oujago_oujago,2018-01-22 11:45:00,2020-01-30 00:00:00
138,nerox8664_onnx2keras,2019-06-27 09:00:18,2020-01-30 00:00:00
139,funkey_gunpowder,2018-12-18 16:16:55,2020-01-30 00:00:00
140,yongjincho_torchext,2018-06-12 18:08:16,2020-01-30 00:00:00
141,AndriyMulyar_semantic-text-similarity,2019-07-23 04:10:49,2020-01-30 00:00:00
142,mil-tokyo_webdnn,2018-01-31 09:16:55,2020-01-30 00:00:00
143,Tiiiger_QPyTorch,2019-02-25 05:54:05,2020-01-30 00:00:00
144,Ji-Zhang_datacleanbot,2019-03-22 21:54:27,2020-01-30 00:00:00
145,apmoore1_fiesta,2019-07-15 05:50:37,2020-01-30 00:00:00
146,google_dopamine,2019-07-27 03:32:17,2020-01-30 00:00:00
147,pytorch_contrib,2019-04-29 18:05:51,2020-01-30 00:00:00
148,VincSP_Vizir,2019-05-23 04:32:00,2020-01-30 00:00:00
149,abidlabs_gradio,2019-03-08 05:53:34,2020-01-30 00:00:00
150,graykode_nlpblock,2019-03-05 02:13:41,2020-01-30 00:00:00
151,google_uis-rnn,2018-12-26 17:06:05,2020-01-30 00:00:00
152,lxgithub24_leetcode,2019-08-23 20:34:43,2020-01-30 00:00:00
153,jlevy44_PathFlowAI,2019-08-02 22:07:24,2020-01-30 00:00:00
154,LiyuanLucasLiu_LightNER,2018-10-02 19:26:12,2020-01-30 00:00:00
155,ofnote_tsalib,2018-10-26 07:46:05,2020-01-30 00:00:00
156,vita-epfl_openpifpafwebdemo,2019-03-18 18:35:32,2020-01-30 00:00:00
157,passalis_sef,2017-12-06 06:14:20,2020-01-30 00:00:00
158,google_gin-config,2019-05-16 23:07:13,2020-01-30 00:00:00
159,gitlab.com_secml_secml,2019-10-12 00:09:24,2020-01-30 00:00:00
160,ColinQiyangLi_spaghetti,2019-05-29 12:11:17,2020-01-30 00:00:00
161,bhgomes_hexfarm,2019-04-09 04:58:38,2020-01-30 00:00:00
162,chahuja_pycasper,2018-06-21 09:13:10,2020-01-30 00:00:00
163,ai4iacts_hexagdly,2019-02-27 15:27:17,2020-01-30 00:00:00
164,keitakurita_torchtable,2018-12-23 00:48:23,2020-01-30 00:00:00
165,chamrc_to,2018-04-01 05:48:39,2020-01-30 00:00:00
166,aspuru-guzik-group_selfies,2019-08-04 11:01:14,2020-01-30 00:00:00
167,nerox8664_pytorch2keras,2018-05-30 20:31:53,2020-01-30 00:00:00
168,EKami_EzeeML,2018-04-02 08:25:01,2020-01-30 00:00:00
169,i008_easyimages,2018-08-25 05:29:52,2020-01-30 00:00:00
170,guokr_Caver,2018-07-25 12:09:43,2020-01-30 00:00:00
171,enewe101_pytorch-categorical,2019-04-04 05:22:21,2020-01-30 00:00:00
172,azavea_raster-vision,2018-10-10 08:47:20,2020-01-30 00:00:00
173,Stonesjtu_pytorch_memlab,2019-05-25 06:38:01,2020-01-30 00:00:00
174,jimmybow_myDL,2019-04-11 18:35:36,2020-01-30 00:00:00
175,perone_euclidesdb,2018-11-19 00:54:52,2020-01-30 00:00:00
176,alexandre01_UltimateLabeling,2019-05-31 12:20:55,2020-01-30 00:00:00
177,cbaziotis_pyrsos,2017-12-03 18:42:49,2020-01-30 00:00:00
178,microsoft_tempeh,2019-10-10 02:27:02,2020-01-30 00:00:00
179,Rvbens_Chatbot-en-Espanol,2020-01-05 18:29:57,2020-01-30 00:00:00
180,analitico_analitico-sdk,2019-07-11 19:55:25,2020-01-30 00:00:00
181,awwong1_torchprof,2019-07-05 18:21:24,2020-01-30 00:00:00
182,jayanthkoushik_torch-gel,2017-06-28 20:58:01,2020-01-30 00:00:00
183,kaniblu_pytorch-skipthoughts,2017-09-10 17:41:23,2020-01-30 00:00:00
184,ktmud_zita,2019-10-04 13:59:21,2020-01-30 00:00:00
185,hadim_maskflow,2018-11-23 02:05:14,2020-01-30 00:00:00
186,Tiiiger_bert_score,2019-04-20 23:04:58,2020-01-30 00:00:00
187,pseeth_torch-stft,2019-06-01 08:34:51,2020-01-30 00:00:00
188,pechyonkin_sjaandi,2019-08-23 18:56:42,2020-01-30 00:00:00
189,ShanghaiTechVENUS_venus,2018-04-03 09:22:19,2020-01-30 00:00:00
190,atomistic-machine-learning_schnetpack,2018-09-04 17:42:57,2020-01-30 00:00:00
191,kaniblu_pytorch-models,2018-09-17 15:53:35,2020-01-30 00:00:00
192,studioml_studio,2017-08-31 07:41:43,2020-01-30 00:00:00
193,mblondel_soft-dtw,2018-05-16 10:06:13,2020-01-30 00:00:00
194,yasufumy_lineflow,2019-02-25 21:32:55,2020-01-30 00:00:00
195,cocolab-projects_reference-game-exploration,2019-07-29 22:25:28,2020-01-30 00:00:00
196,timniven_w2v,2018-03-31 17:55:20,2020-01-30 00:00:00
197,nicholasturner1_Synaptor,2019-05-09 19:22:16,2020-01-30 00:00:00
198,theislab_dca,2018-04-30 09:47:26,2020-01-30 00:00:00
199,akanimax_attn_gan_pytorch,2018-08-11 03:50:58,2020-01-30 00:00:00
200,GaoQ1_rasa_nlu_gq,2018-11-08 17:40:42,2020-01-30 00:00:00
201,jpuigcerver_nnutils,2018-09-28 22:54:15,2020-01-30 00:00:00
202,pyro-ppl_numpyro,2019-06-01 04:16:56,2020-01-30 00:00:00
203,MisaOgura_flashtorch,2019-04-17 22:48:27,2020-01-30 00:00:00
204,PIQuIL_QuCumber,2018-07-13 22:42:24,2020-01-30 00:00:00
205,Mrpatekful_swats,2019-06-02 18:27:24,2020-01-30 00:00:00
206,litcoderr_ComplexCNN,2019-02-15 17:12:22,2020-01-30 00:00:00
207,Lyken17_pytorch-OpCounter,2018-11-18 02:54:15,2020-01-30 00:00:00
208,Enny1991_sep_eval,2018-12-20 00:35:15,2020-01-30 00:00:00
209,dmlc_tvm,2019-05-24 01:29:29,2020-01-30 00:00:00
210,deephyper_deephyper,2019-01-11 13:33:48,2020-01-30 00:00:00
211,pytorch_audio,2019-02-22 23:03:09,2020-01-30 00:00:00
212,yassersouri_fandak,2019-07-08 15:21:11,2020-01-30 00:00:00
213,roodry67_piro,2018-11-13 19:59:36,2020-01-30 00:00:00
214,VictorKuenstler_torchtrainer,2019-08-18 12:07:52,2020-01-30 00:00:00
215,musket-ml_segmentation_training_pipeline,2019-08-21 18:35:05,2020-01-30 00:00:00
216,amansrivastava17_embedding-as-service,2019-08-25 20:27:51,2020-01-30 00:00:00
217,guocheng2018_transformer-encoder,2019-07-25 06:09:37,2020-01-30 00:00:00
218,cosmicBboy_ml-research,2019-06-20 03:17:52,2020-01-30 00:00:00
219,reidmcy_simple_id,2018-06-03 11:42:39,2020-01-30 00:00:00
220,cnt-dev_pytorch-stateful-lstm,2019-01-07 23:20:55,2020-01-30 00:00:00
221,davidmascharka_detection-utils,2019-06-12 00:15:51,2020-01-30 00:00:00
222,bitbucket.org_nemelex_libcrap,2019-05-07 01:37:01,2020-01-30 00:00:00
223,qubvel_ttach,2019-10-02 13:04:46,2020-01-30 00:00:00
224,jsxlei_SCALE,2019-05-25 03:37:40,2020-01-30 00:00:00
225,recogna-lab_recogners,2019-07-04 18:25:58,2020-01-30 00:00:00
226,Swall0w_torchstat,2018-10-28 00:57:32,2020-01-30 00:00:00
227,jasonkriss_detonator,2018-02-07 17:47:41,2020-01-30 00:00:00
228,yngtodd_segment,2018-08-30 02:40:25,2020-01-30 00:00:00
229,dmlc_gluon-cv,2018-09-05 07:57:29,2020-01-30 00:00:00
230,HazyResearch_metal,2018-08-19 06:35:31,2020-01-30 00:00:00
231,kaniblu_pytorch-sru,2017-09-14 14:07:01,2020-01-30 00:00:00
232,XtractTech_xt-cvdata,2019-10-08 20:49:38,2020-01-30 00:00:00
233,darthdeus_bopt,2019-01-18 02:41:48,2020-01-30 00:00:00
