package_name,import_name,repo,layer,num_downstream_repos,import_timestamp
tensorflow,tensorflow,tensorflow_tensorflow,1,330472,1475769600
tensorboardX,tensorboardX,lanpa_tensorboardX,2,11347,1500886253
UWIGoPiGo,picamera,InzamamRahaman_UWIGoPiGo,2,7601,1530553488
gym-contra,gym,OuYanghaoyue_gym_contra,2,2897,1563861444
Keras-Applications,keras_applications,keras-team_keras-applications,2,1566,1527885920
onnx-coreml,onnx,onnx_onnx-coreml,3,1285,1509558868
tensorflowservingclient,tensorflow_serving,yesup_tensorflow-serving-client-python,2,1113,1490651805
tfcoreml,coremltools,tf-coreml_tf-coreml,2,1004,1507755648
skip-thoughts,skip_thoughts,RetroRabbit_skip_thoughts,2,606,1506023900
ml-python,ml,vivek3141_ml,2,532,1534483373
google-nucleus,nucleus,google_nucleus,2,464,1522349101
gin-config,gin,google_gin-config,2,457,1521158488
gpflow,gpflow,GPflow_GPflow,2,414,1452785467
dl-cloud,cloud,for-ai_cloud,2,384,1540358557
tensorboardcolab,tensorboardcolab,taomanwai_tensorboardcolab,2,368,1525433341
gluoncv-torch,gluoncv,dmlc_gluon-cv,3,365,1546549709
track-ml,track,richardliaw_track,2,315,1529540729
apache-tvm,tvm,dmlc_tvm,2,302,1480994051
medicalsegment,segment,yngtodd_segment,2,283,1536208725
keras-rl2,rl,wau_keras-rl2,2,276,1558419782
dgl-cu102,dgl,dmlc_dgl,2,231,1530650414
mnist-parser,mnist,alexmeinhold_mnist-parser,2,225,1566726166
qlearning,qlearning,kaiquewdev_tf-gym-app,2,223,1524242663
backends,lab,wesselb_lab,2,220,1522332101
exp,exp,davidenunes_exp,2,214,1527728486
fuse,fuse,hanslovsky_fuse,3,204,1540589062
keras-bert,keras_bert,CyberZHG_keras-bert,2,200,1541205792
PedalPi-WebService,webservice,PedalPi_WebService,4,190,1479941163
dnn,dnn,gitlab.com_hansroh_dnn,2,171,1520659255
scikit-onnxruntime,onnxruntime,xadupre_scikit-onnxruntime,3,167,1550768856
jax,jax,google_jax,2,167,1542506613
keras-self-attention,keras_self_attention,CyberZHG_keras-self-attention,2,151,1534421809
bilm,bilm,allenai_bilm-tf,2,150,1506810649
efficientnet,efficientnet,qubvel_efficientnet,2,147,1559247699
ddpg-agent,ddpg_agent,samhiatt_ddpg_agent,2,138,1561157113
CHESS-python-nightly,chess,nishaq503_CHESS,2,127,1564795110
wavenet,wavenet,unixpickle_wavenet,2,124,1525566858
dopamine-rl,dopamine,google_dopamine,2,120,1535313156
onnxtk,onnxmltools,onnx_onnxmltools,2,118,1522785785
uclmr-jack,jack,uclmr_jack,2,115,1470055244
squeezenet,squeezenet,Khushmeet_squeezeNet,2,108,1495825042
model-zoo,model_zoo,ModelZoo_ModelZoo,2,105,1538750360
kerassurgeon,kerassurgeon,BenWhetton_keras-surgeon,2,104,1495304344
gpt-2-simple,gpt_2_simple,minimaxir_gpt-2-simple,2,98,1555217225
studioml_gpu,studio,studioml_studio,2,91,1495130460
tensornets,tensornets,taehoonlee_tensornets,2,90,1505798465
densenet,densenet,okason97_DenseNet-Tensorflow2,2,88,1558381566
tffm,tffm,geffy_tffm,2,85,1462283880
tensorflow-radam,keras_radam,CyberZHG_keras-radam,2,84,1565954425
viskit,viskit,rlworkgroup_viskit,2,84,1475174991
innvestigate,innvestigate,albermax_innvestigate,2,78,1513891220
aif360,aif360,IBM_AIF360,2,74,1536708978
face-detector,face_detector,roj4s_face_detector,2,74,1553197639
magma-lang,magma,phanrahan_magma,2,74,1504412247
picard.py,picard,thejohnfreeman_picard,3,69,1545144936
alkanet-picard,picard,jakebian_picard,2,69,1480280503
deeplabcut-gui-qt,deeplabcut,AlexEMG_DeepLabCut,2,64,1523395274
reinforcement,reinforcement,SwamyDev_reinforcement,2,62,1523094478
minpy,minpy,dmlc_minpy,2,62,1480540796
q2,q2,tdb-alcorn_q2,2,60,1529455953
pyroomacoustics,pyroomacoustics,LCAV_pyroomacoustics,2,60,1520840694
pytorch-lightning,pytorch_lightning,williamFalcon_pytorch-lightning,3,58,1554296840
exoplanet,exoplanet,dfm_exoplanet,2,56,1529610827
gpu-utils,gpu_utils,neighthan_gpu-utils,2,55,1540243169
esper-video,esper,scanner-research_esper,2,54,1497378955
opt-einsum,opt_einsum,dgasmith_opt_einsum,2,54,1521116571
tensorflow-utils,tensorflow_utils,stefanwebb_tensorflow-utils,2,53,1502209350
mittens,mittens,roamanalytics_mittens,2,52,1522011180
phi,phi,cgarciae_phi,2,51,1479091948
mesh-tensorflow,mesh_tensorflow,tensorflow_mesh,2,50,1537377347
spherenet,spherenet,unixpickle_spherenet,2,50,1511208330
netease-kubeflow-fairing,kubeflow,kubeflow_fairing,2,49,1525705259
t3f,t3f,Bihaqo_t3f,2,48,1484847928
keras-pos-embd,keras_pos_embd,CyberZHG_keras-pos-embd,2,47,1538539060
dcase-util,dcase_util,DCASE-REPO_dcase_util,2,47,1524926346
PennyLane,pennylane,XanaduAI_pennylane,2,46,1549666543
tfgraphviz,tfgraphviz,akimach_tfgraphviz,2,46,1487211337
pypythia,pythia,ChristianSch_PyPythia,2,45,1465977090
desc,desc,eleozzr_desc,2,45,1546806470
pythia-learn,pythia,glotzerlab_pythia,2,45,1525454288
neptune-tensorflow,neptune,neptune-ml_neptune-tensorflow,2,45,1552323779
alfred-py,alfred,jinfagang_alfred,2,44,1534089080
snips-nlu,snips_nlu,snipsco_snips-nlu,2,43,1542707291
keras-layer-normalization,keras_layer_normalization,CyberZHG_keras-layer-normalization,2,43,1557584621
trains,trains,allegroai_trains,2,42,1560186028
forecaster,forecaster,kylinorange_insight,2,41,1516396071
skl2onnx,skl2onnx,onnx_sklearn-onnx,2,41,1545157677
pixyz,pixyz,masa-su_pixyz,3,40,1530354044
tangent,tangent,google_tangent,2,39,1509546436
schnetpack,schnetpack,atomistic-machine-learning_schnetpack,3,38,1535995360
keras-transformer,keras_transformer,CyberZHG_keras-transformer,2,37,1557588401
facenet-pytorch,facenet_pytorch,timesler_facenet-pytorch,2,36,1558683812
snorkel-metal,metal,HazyResearch_metal,3,35,1540164637
bio-minos,minos,iqbal-lab-org_minos,3,35,1516893406
pyminos,minos,guybedo_minos,2,35,1487201580
easy-tf-log,easy_tf_log,mrahtz_easy-tf-log,2,35,1519908345
emukit,emukit,amzn_emukit,2,34,1541770607
dlt,dlt,hiroyuki827_deep_learning_tools,2,34,1516623291
scvi,scvi,YosefLab_scVI,2,33,1504676469
gunpowder,gunpowder,funkey_gunpowder,2,33,1503157676
descarteslabs,descarteslabs,descarteslabs_descarteslabs-python,2,32,1526602101
dfly-breathe,dragonfly,mrob95_Breathe,3,32,1570280263
dragonfly-core,dragonfly,ladybug-tools_dragonfly-core,3,32,1568932948
clientMOE,moe,Yelp_MOE,2,32,1491007627
dragonfly-opt,dragonfly,dragonfly_dragonfly,2,32,1551229794
wtte,wtte,ragulpr_wtte-rnn,2,31,1485445980
rtsp,rtsp,statueofmike_rtsp,3,31,1537113748
delira-cycle-gan,delira,justusschock_delira_cycle_gan_pytorch,3,31,1551537502
delira,delira,delira-dev_delira,2,31,1544632320
lamp,lamp,kerwin6182828_kerwin_code_files,2,31,1545396191
DCA,dca,theislab_dca,2,31,1482331166
dl_utils,dl_utils,tensorchiefs_dl_utils,2,30,1508404326
webdnn,webdnn,mil-tokyo_webdnn,2,30,1498812136
trixi-slim,trixi,MIC-DKFZ_trixi,3,30,1524240457
keras-efficientnets,keras_efficientnets,titu1994_keras-efficientnets,2,30,1559441979
spotify_tensorflow,spotify_tensorflow,spotify_spotify-tensorflow,2,29,1502376187
ml-lib,ml_lib,AlassaneNdiaye_machine-learning,2,28,1489693263
chi,chi,rmst_chi,2,28,1486075197
neuralgym111,neuralgym,DarkoBomer_neuralgym1,2,28,1544514464
eo-learn-visualization,eolearn,sentinel-hub_eo-learn,2,27,1549012084
robust-vision-benchmark,robust_vision_benchmark,bethgelab_robust-vision-benchmark,2,27,1504540827
petastorm,petastorm,uber_petastorm,2,27,1531946895
decompose,decompose,bethgelab_decompose,2,27,1522158173
simplenet,simplenet,n8henrie_simplenet,2,26,1509687867
keras2onnx,keras2onnx,onnx_keras-onnx,2,26,1521160464
onnx-mxnet,onnx_mxnet,onnx_onnx-mxnet,4,26,1510868283
keras-multi-head,keras_multi_head,CyberZHG_keras-multi-head,2,26,1557571470
pipeline-logger,pipeline_logger,PipelineAI_pip,2,25,1506458467
rastervision,rastervision,azavea_raster-vision,2,25,1486930473
muffnn,muffnn,civisanalytics_muffnn,2,25,1472085424
canton,canton,ctmakro_canton,2,25,1487181189
pyneuroner,neuroner,Franck-Dernoncourt_NeuroNER,2,25,1488850283
solaris,solaris,CosmiQ_solaris,2,24,1556823636
ml-metadata,ml_metadata,google_ml-metadata,2,24,1548200704
osrm,osrm,ustroetz_python-osrm,3,24,1522149887
CSFunctions,ADTLib,CarlSouthall_ADTLib,2,24,1470062908
BentoML-kube,bentoml,bentoml_BentoML,2,24,1554169854
tensorflow-rl,example_model,RLOpensource_tensorflow_RL,2,24,1548134344
pytorch2keras,pytorch2keras,nerox8664_pytorch2keras,2,23,1527565382
abstraction,abstraction,wdbm_abstraction,2,23,1490115212
guesslang,guesslang,yoeo_guesslang,2,23,1495995336
lake,lake,CosmosShadow_lake,2,23,1498556033
efficiency,efficiency,zhijing-jin_efficiency,2,22,1538537555
nomeroff-net-gpu,NomeroffNet,ria-com_nomeroff-net,2,22,1549353136
tfmpl,tfmpl,cheind_tf-matplotlib,2,22,1521728281
namedtensor,namedtensor,harvardnlp_NamedTensor,3,22,1546400294
guacamol,guacamol,BenevolentAI_guacamol,3,21,1541602688
torchani,torchani,aiqm_torchani,3,21,1522633981
TensorNetwork,tensornetwork,google_TensorNetwork,2,21,1556224961
nara-wpe,nara_wpe,fgnt_nara_wpe,2,21,1504606779
rnnmorph,rnnmorph,IlyaGusev_rnnmorph,2,20,1529580365
gnn,gnn,mtiezzi_gnn,2,20,1559436460
dxl-learn,dxl,tech-pi_dxlearn,2,19,1520946171
elasticdeform,elasticdeform,gvtulder_elasticdeform,2,19,1544182996
gym-tictactoe,gym_tictactoe,shkreza_gym-tictactoe,2,19,1546226918
deep-pipe,dpipe,neuro-ml_deep_pipe,2,19,1495637944
dxl-data,dxl,Hong-Xiang_dxdata,2,19,1523495039
dxl-function,dxl,Hong-Xiang_dxfunction,2,19,1532522646
timm,timm,rwightman_pytorch-image-models,2,18,1559263972
torchgan,torchgan,torchgan_torchgan,3,17,1538748911
astroNN,astroNN,henrysky_astroNN,2,17,1507956366
ait,ait,HongSeokHwan_ait,2,17,1510822968
batching,batching,cirick_batching,2,17,1558632263
tgan,tgan,DAI-Lab_TGAN,2,16,1527187627
qhoptim,qhoptim,facebookresearch_qhoptim,2,16,1546992248
torchtools,torchtools,Time1ess_torchtools,3,16,1523958585
peforth,peforth,hcchengithub_peforth,2,16,1510656283
keras-gpt-2,keras_gpt_2,CyberZHG_keras-gpt-2,2,16,1550496259
FCD,fcd,bioinf-jku_FCD,2,16,1521726744
pycoreir,coreir,Kuree_pycoreir,3,16,1519711203
coreir,coreir,leonardt_pycoreir,3,16,1519711203
torch-dct,torch_dct,zh217_torch-dct,2,15,1538677680
geomstats,geomstats,geomstats_geomstats,2,15,1524834557
kekas,kekas,belskikh_kekas,3,15,1541076531
fjcommon,fjcommon,fab-jul_fjcommon,2,14,1500284524
diluvian,diluvian,aschampion_diluvian,2,14,1485901735
graphkernels,graphkernels,eghisu_GraphKernels,2,14,1476363999
rupo,rupo,IlyaGusev_rupo,2,14,1505075056
bert-text,bert_text,SunYanCN_bert-text,2,14,1558577560
copulas,copulas,DAI-Lab_Copulas,2,14,1533248557
transferflow,transferflow,dominiek_transferflow,2,14,1486535479
huskarl-custom,huskarl,danaugrs_huskarl,2,14,1550520549
mira,mira,faustomorales_mira,2,13,1562341521
keras-position-wise-feed-forward,keras_position_wise_feed_forward,CyberZHG_keras-position-wise-feed-forward,2,13,1557586592
bin-sam,sam,big-data-lab-team_sam,4,13,1551745033
keras-maskrcnn,keras_maskrcnn,fizyr_keras-maskrcnn,2,13,1520604190
aboleth,aboleth,data61_aboleth,2,13,1486597508
gfootball,gfootball,google-research_football,2,13,1559762384
zb,zb,zengbin93_zb,2,13,1514014546
kepler,kepler,jaidevd_kepler,2,13,1539608719
ai-utils,ai_utils,rcluan_ai_utils,2,12,1541690872
trading-gym,trading_gym,mymusise_Trading-Gym,2,12,1548069684
ESN,ESN,Xeeshanmalik_deep_ml_esn,2,12,1546372929
tfinterface,tfinterface,cgarciae_tfinterface,2,12,1486178458
keras-embed-sim,keras_embed_sim,CyberZHG_keras-embed-sim,2,12,1557587364
checkpointer,checkpointer,Reddan_checkpointer,2,12,1521213680
keras-models,keras_models,Marcnuth_Keras-Models,3,12,1567786166
mdai,mdai,mdai_mdai-client-py,2,12,1530216090
recsys-recoder,recoder,amoussawi_recoder,2,12,1504905680
keras-complex,complexnn,JesperDramsch_keras-complex,2,12,1512298298
keras-facenet,keras_facenet,faustomorales_keras-facenet,2,12,1554593410
torchfusion,torchfusion,johnolafenwa_TorchFusion,3,12,1534270761
backpack-for-pytorch,backpack,f-dangel_backpack,3,11,1561817055
tfserve,tfserve,iitzco_tfserve,2,11,1536066212
ktrain,ktrain,amaiya_ktrain,2,11,1554909853
kito,kito,ZFTurbo_Keras-inference-time-optimizer,3,11,1529383354
keras-pandas,keras_pandas,bjherger_keras-pandas,2,11,1538151817
twpca,twpca,ganguli-lab_twpca,2,11,1488058510
deer,deer,VinF_deer,2,11,1467299915
tensorbuilder,tensorbuilder,cgarciae_tensorbuilder,2,11,1465082411
cdqa,cdqa,cdqa-suite_cdQA,3,11,1562936262
tftables,tftables,ghcollin_tftables,2,11,1488959345
deepbrain,deepbrain,iitzco_deepbrain,2,11,1534534504
backpack-for-pytorch,backpack,f-dangel_backpack,3,11,1554298326
chicksexer,chicksexer,kensk8er_chicksexer,2,11,1495571191
edflow-test,edflow,pesser_edflow,2,11,1535548463
silence-tensorflow,silence_tensorflow,LucaCappelletti94_silence_tensorflow,2,10,1558765537
fairness-cscheid,fairness,algofairness_fairness-comparison,2,10,1498833323
sflow,sflow,dade-ai_sflow,2,10,1499045975
tensorflow-encrypted,tf_encrypted,mortendahl_tf-encrypted,2,10,1526328077
animalai-train,animalai,beyretb_AnimalAI-Olympics,2,10,1556626500
bim,bam,google-research-datasets_bim,2,10,1561069303
claf,claf,naver_claf,2,10,1551245482
mlt,mlt,IntelAI_mlt,2,10,1515709065
extra-keras-utils,extra_keras_utils,LucaCappelletti94_extra_keras_utils,2,10,1558788218
xrft,xrft,xgcm_xrft,2,10,1526016062
redisai,redisai,RedisAI_redisai-py,2,9,1555161974
fio,fio,gitlab.com_SumNeuron_fio,2,9,1536499369
deep500,deep500,deep500_deep500,2,9,1546442926
n2v,n2v,juglab_n2v,2,9,1547229844
radical.facts,facts,radical-collaboration_facts,2,9,1560187329
ocrd-anybaseocr,ocrd,mjenckel_LAYoutERkennung,2,9,1558698572
fse,fse,oborchers_Fast_Sentence_Embeddings,2,9,1562945374
rasa-nlu-gao,rasa_nlu_gao,GaoQ1_rasa_nlu_gq,2,9,1539139833
mimic-text,mimic,ubclaunchpad_mimic,2,9,1549748612
fa-kit,fa_kit,bmcmenamin_fa_kit,2,9,1503875592
salty-ilthermo,salty,wesleybeckner_salty,2,9,1541186713
transformer-model,transformer_model,zbloss_TransformerModel,2,9,1566148228
t5,t5,google-research_text-to-text-transfer-transformer,2,9,1571873681
tnn,tnn,Savahi_tnn,2,9,1506681821
incense,incense,JarnoRFB_incense,2,9,1546273256
pyrevolve,pyrevolve,opesci_pyrevolve,3,9,1536201352
higlass-python,higlass,higlass_higlass-python,4,9,1542383837
bella-tdsa,bella,apmoore1_Bella,2,9,1516878967
chariot,chariot,chakki-works_chariot,2,9,1528677859
doufo,doufo,tech-pi_doufo,2,8,1533364288
ergo-ai,ergo,evilsocket_ergo,2,8,1542824412
russtress,russtress,MashaPo_russtress,2,8,1516354245
carball,carball,SaltieRL_carball,2,8,1549560245
tensorflow-model,tfmodel,tobegit3hub_tfmodel,2,8,1541215137
irl-benchmark,irl_benchmark,JohannesHeidecke_irl-benchmark,2,8,1537360788
lad,lad,mirca_lad,2,8,1528549186
DDFacet,DDFacet,saopicc_DDFacet,2,8,1476348877
gradio,gradio,abidlabs_gradio,2,8,1548401454
linux-allocated,lad,svidovich_lad,3,8,1561606216
shy,shy,kevin970401_shy,2,8,1532413425
ckiptagger,ckiptagger,ckiplab_ckiptagger,2,8,1566547120
numpyro,numpyro,pyro-ppl_numpyro,2,8,1555007631
Skills-ML,skills_ml,workforce-data-initiative_skills-ml,2,8,1519169174
twbase,twbase,sysid_twBase,2,7,1488097922
octconv,octconv,braincreators_octconv,3,7,1557243052
shapley-effects,shapley,gitlab.com_CEMRACS17_shapley-effects,2,7,1505237456
dlutils,dlutils,podgorskiy_dlutils,2,7,1551174527
easydl,easydl,thuml_easydl,2,7,1529289206
blender,blender,uzairakbar_blender,3,7,1565170828
PedalPi-PluginsManager,pluginsmanager,PedalPi_PluginsManager,3,7,1479418999
maru,maru,chomechome_maru,2,7,1537463265
roomai,roomai,roomai_RoomAI,2,7,1496188116
ChronoNLP,Chrono,AmyOlex_Chrono,2,7,1509380729
keras-on-lstm,keras_ordered_neurons,CyberZHG_keras-ordered-neurons,2,7,1557233489
qcengine,qcengine,MolSSI_QCEngine,4,7,1541445798
coach-ml,coach,coach-ml_coach-python,2,7,1557963820
label-maker,label_maker,developmentseed_label-maker,2,7,1516658731
tensorflow_hmm,tensorflow_hmm,dwiel_tensorflow_hmm,2,7,1457838119
pytorch-complex-tensor,pytorch_complex_tensor,williamFalcon_pytorch-complex-tensor,2,7,1549480252
speaksee,speaksee,aimagelab_speaksee,3,7,1536595974
stadv,stadv,rakutentech_stAdv,2,7,1526039051
cimcb,cimcb,KevinMMendez_cimcb,2,7,1555411582
facenet_recognition,facenet_recognition,ishwarsawale_facenet_recognition,2,7,1521987774
pixelhouse,pixelhouse,thoppe_pixelhouse,2,7,1540415537
cxflow-tensorflow,cxflow,Cognexa_cxflow-tensorflow,2,7,1497276250
dlr,dlr,neo-ai_neo-ai-dlr,2,7,1555987726
straxen,straxen,XENONnT_straxen,2,7,1530031662
keras-adabound,keras_adabound,CyberZHG_keras-adabound,2,7,1551358973
delphi,delphi,ml4ai_delphi,3,7,1532568213
pycda,pycda,AlliedToasters_PyCDA,2,6,1520767813
larq,larq,plumerai_larq,2,6,1553167961
gaussian-process,gaussian_process,LucaCappelletti94_gaussian_process,3,6,1558885045
keras-lookahead,keras_lookahead,CyberZHG_keras-lookahead,2,6,1568203939
rlib,rlib,MarcioPorto_rlib,3,6,1547521918
ngraph-onnx,ngraph_api,NervanaSystems_ngraph-onnx,4,6,1517242173
TensorMol,TensorMol,jparkhill_TensorMol,2,6,1477683704
erdos,erdos,erdos-project_erdos,2,6,1541450849
deepaugment,deepaugment,barisozmen_deepaugment,2,6,1548841731
onnx-simplifier,onnxsim,daquexian_onnx-simplifier,4,6,1554111238
montblanc,montblanc,ska-sa_montblanc,2,6,1462783299
keras-lr-multiplier,keras_lr_multiplier,CyberZHG_keras-lr-multiplier,2,6,1556464014
tape-proteins,tape,songlab-cal_tape,2,6,1560923923
mnist-web,mnist_web,mattpetersen_mnist_web,2,6,1499821084
pytorch-hrvvi-ext,hutil,sbl1996_pytorch-hrvvi-ext,3,6,1556519130
nyoka,nyoka,nyoka-pmml_nyoka,2,6,1556174695
codex-africanus,africanus,ska-sa_codex-africanus,3,5,1560332296
racket,racket,carlomazzaferro_racket,2,5,1541732555
pybolt,bolt,dblalock_bolt,2,5,1567375405
firelab,firelab,universome_firelab,3,5,1529324300
ivis,ivis,beringresearch_ivis,2,5,1534243212
